"#"	"x"	"bhikkhupātimokkhapāḷi"	"pos"	"grammar"	"+case"	"tamil"	"meaning"	"lit. meaning"	"root"	"rt gp"	"sign"	"base"	"construction"	"compound type"	"compound construction"	"abbrev"	"source"	"sentence"	"aṭṭhakathā"
"1"	"3"	"bhante"	"noun"	"masc voc sg or pl of bhadanta"	""	"அய்யாக்களே"	"venerable(s), lord(s), reverend(s)"	"good one, lucky one"	"√bhad (be good)"	"1"	"a"	""	"√bhad + anta"	""	""	"NI"	"nidānuddeso"	"suṇātu me <b>bhante</b> saṅgho"	""
"1"	"16"	"āvuso"	"noun"	"masc voc sg or pl of āyasmantu"	""	"ஆயுஷ்மான்களே"	"friend(s), brother(s)"	"having long life"	""	""	""	""	"āyus + mantu"	""	""	"NI"	"nidānuddeso"	"suṇātu me <b>āvuso</b> saṅgho"	""
"1"	"4"	"saṅgho"	"noun"	"masc nom sg of saṅgha"	""	"சங்கமே"	"community, assembly, group"	"joined together"	"√ghaṭ (join together)"	"1"	"a"	""	"saṃ + √ghaṭ + a"	""	""	"NI"	"nidānuddeso"	"suṇātu me bhante <b>saṅgho</b>"	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"1"	"ajjuposatho"	"comp"	"sandhi"	""	"இன்று உபவாசம்"	"today is the observance day"	""	""	""	""	""	"ajja + uposatho"	""	""	"NI"	"nidānuddeso"	"<b>ajj'uposatho</b> pannaraso, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"2"	"- ajja"	"ind"	"adv"	""	"இன்று"	"today, now, presently"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"<b>ajj</b>'uposatho pannaraso, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"1"	"- uposatho"	"noun"	"masc nom sg of uposatha"	""	"உபவாசம்"	"observance day"	"living near"	"√vas (live)"	"1"	"a"	""	"upa + √vas + a + tha"	""	""	"NI"	"nidānuddeso"	"ajj'<b>uposatho</b> pannaraso, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"1"	"paṇṇaraso"	"ordinal"	"masc nom sg of paṇṇarasa, comp"	""	"15 ஆவது"	"fifteenth 15th"	""	""	""	""	""	"pañca + dasa"	"dvanda"	"pañca + dasa"	"NI"	"nidānuddeso"	"ajj'<b>uposatho</b> <b>pannaraso</b>, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"1"	"cātuddaso"	"ordinal"	"masc nom sg of cātuddasa, comp"	""	"14 ஆவது"	"fourteenth 14th"	""	""	""	""	""	"catu + dasa"	"dvanda"	"catu + dasa"	"NI"	"nidānuddeso"	"ajj'uposatho <b>cātuddaso</b>, yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"1"	"yadi"	"ind"	""	""	"ஆல்"	"if"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"<b>yadi</b> saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"4"	"saṅghassa"	"noun"	"masc dat sg of saṅgha"	""	"சங்கத்திற்க்கு"	"for the community, assembly, group"	"joined together"	"√ghaṭ (join together)"	"1"	"a"	""	"saṃ + √ghaṭ + a"	""	""	"NI"	"nidānuddeso"	"yadi <b>saṅghassa</b> pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"1"	"pattakallaṃ"	"noun"	"nt nom sg of pattakalla, comp"	""	"தகுந்த நேரம்"	"good time, suitable occasion"	"reached time"	""	""	""	""	"patta + kalla"	"accusative tappurisa"	"patta + kall<b>aṃ</b>"	"NI"	"nidānuddeso"	"yadi saṅghassa <b>pattakallaṃ</b>, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"2"	"- patta"	"pp"	"pp of of pāpuṇāti"	"+acc"	"தகுந்த"	"reached, attained, accomplished"	"reached"	"√ap (reach, attain)"	"4"	"uṇā, ṇo"	""	"pa + √ap + ta"	""	""	"NI"	"nidānuddeso"	"yadi saṅghassa <b>patta</b>kallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"2"	"- kallaṃ"	"noun"	"masc acc sg of kāla"	""	"நேரம்"	"time, occasion"	""	"√kal (spend time)"	"8"	"e"	""	"√kal + *a"	""	""	"NI"	"nidānuddeso"	"yadi saṅghassa patta<b>kallaṃ</b>, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	"(KV) <b>yadi saṅghassa pattakallanti</b> ettha patto kālo imassa kammassāti pattakālaṃ, pattakālameva pattakallaṃ."
"2"	"2"	"- kallaṃ"	"noun"	"masc acc sg of kalla"	"noun"	"நேரம்"	"time, occasion"	"0"	"√kal (spend time)"	"8"	"e"	"0"	"√kal + *a"	"0"	"0"	"NI"	"nidānuddeso"	"yadi saṅghassa patta<b>kallaṃ</b>, saṅgho uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"2"	"4"	"saṅgho"	"noun"	"masc nom sg of saṅgha"	"0"	"சங்கமே"	"community, assembly, group"	"joined together"	"√ghaṭ (join together)"	"1"	"a"	"0"	"saṃ + √ghaṭ + a"	"0"	"0"	"NI"	"nidānuddeso"	"yadi saṅghassa pattakallaṃ, <b>saṅgho</b> uposathaṃ kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"1"	"uposathaṃ"	"noun"	"masc acc sg of uposatha"	""	"உபவாசத்தை"	"observance day"	"living with"	"√vas (live)"	"1"	"a"	""	"upa + √vas + a + tha"	""	""	"NI"	"nidānuddeso"	"yadi saṅghassa pattakallaṃ, saṅgho <b>uposathaṃ</b> kareyya, pātimokkhaṃ uddiseyya."	""
"1"	"1"	"kareyya"	"verb"	"opt 3rd sg of karoti"	"+acc"	"செய்யலாம்"	"he should conduct, can perform"	"could do"	"√kar (do, make)"	"7"	"o"	"√kar + o > karo"	"karo + ti"	""	""	"NI"	"nidānuddeso"	"yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ <b>kareyya</b>, pātimokkhaṃ uddiseyya."	""
"1"	"2"	"pātimokkhaṃ"	"noun"	"masc acc sg of pātimokkha"	""	"இயம நியமத்தை"	"disciplinary code, precepts"	"leading to liberation"	"√mokkh (be free)"	"1"	"a"	""	"pa + ati + √mokkh + a"	""	""	"NI"	"nidānuddeso"	"yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, <b>pātimokkhaṃ</b> uddiseyya."	"(KV) tattha <b>pātimokkhanti</b> paatimokkhaṃ atipamokkhaṃ atiseṭṭhaṃ atiuttamanti attho."
"1"	"1"	"uddiseyya"	"verb"	"opt 3rd sg of uddisati"	"+acc"	"பாராயணஞ்செய்யலாம்"	"he should recite"	"could point up"	"√dis (point out, explain)"	"1"	"a"	"√dis + a > disa"	"ud + disa + ti"	""	""	"NI"	"nidānuddeso"	"yadi saṅghassa pattakallaṃ, saṅgho uposathaṃ kareyya, pātimokkhaṃ <b>uddiseyya</b>."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"3"	"kiṃ"	"pron"	"nt nom sg of ka"	""	"ஆ?"	"what?"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"<b>kiṃ</b> saṅghassa pubbakiccaṃ?"	""
"2"	"4"	"saṅghassa"	"noun"	"masc dat sg of saṅgha"	"0"	"சங்கத்திற்க்கு"	"for the community, assembly, group"	"joined together"	"√ghaṭ (join together)"	"1"	"a"	"0"	"saṃ + √ghaṭ + a"	"0"	"0"	"NI"	"nidānuddeso"	"kiṃ <b>saṅghassa</b> pubbakiccaṃ?"	""
"1"	"1"	"pubbakiccaṃ"	"noun"	"nt nom sg of pubbakicca, comp"	""	"முதல் வேலை"	"preliminary duty"	"what should be done before"	""	""	""	""	"pubba + kicca"	"kammadhāraya"	"pubba + kicca"	"NI"	"nidānuddeso"	"kiṃ saṅghassa <b>pubbakiccaṃ</b>?"	""
"1"	"2"	"- pubba"	"adj"	""	""	"முதல் "	"before, preliminary, preceding"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"kiṃ saṅghassa <b>pubba</b>kiccaṃ?"	""
"1"	"1"	"- kiccaṃ"	"noun"	"nt nom sg of kicca, ptp of karoti"	""	"வேலை"	"duty, obligation"	"should be done"	"√kar (do, make)"	"7"	"o"	""	"√kar + tya"	""	""	"NI"	"nidānuddeso"	"kiṃ saṅghassa pubba<b>kiccaṃ</b>?"	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"1"	"pārisuddhiṃ"	"noun"	"fem acc sg of pārisuddhi"	""	"பரிசுத்தத்தை"	"complete purity, innocence"	""	"√sudh (be pure)"	"3"	"ya"	""	"pari + √sudh + ta + *i"	""	""	"NI"	"nidānuddeso"	"<b>pārisuddhiṃ</b> āyasmanto ārocetha"	""
"1"	"14"	"āyasmanto"	"noun"	"masc voc pl of āyasmantu"	""	"ஆயுஷ்மான்களே"	"venerables"	"having long life"	""	""	""	""	"āyus + mantu"	""	""	"NI"	"nidānuddeso"	"pārisuddhiṃ <b>āyasmanto</b> ārocetha"	""
"1"	"1"	"ārocetha"	"verb"	"imp 2nd pl of āroceti"	"+acc"	"கூறுங்கள்"	"you all must state, announce, declare"	""	"√ruc (shine, approve)"	"8"	"*e"	"√ruc + *e > roce"	"ā + roce + ti"	""	""	"NI"	"nidānuddeso"	"pārisuddhiṃ āyasmanto <b>ārocetha</b>"	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"2"	"2"	"pātimokkhaṃ"	"noun"	"masc acc sg of pātimokkha"	"0"	"இயம நியமத்தை"	"disciplinary code, precepts"	"leading to liberation"	"√mokkh (be free)"	"1"	"a"	"0"	"pa + ati + √mokkh + a"	"0"	"0"	"NI"	"nidānuddeso"	"<b>pātimokkhaṃ</b> uddisissāmi, taṃ sabb'eva santā sādhukaṃ suṇoma manasi karoma."	""
"1"	"1"	"uddisissāmi"	"verb"	"fut 1st sg of uddisati"	"+acc"	"பாரயணஞ்செய்கிறேன்"	"I will recite"	"I will point up"	"√dis (point out, explain)"	"1"	"a"	"√dis + a > disa"	"ud + disa + ti"	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ <b>uddisissāmi</b>, taṃ sabb'eva santā sādhukaṃ suṇoma manasi karoma."	""
"1"	"37"	"taṃ"	"pron"	"masc acc sg of ta"	""	"அதை"	"that"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, <b>taṃ</b> sabb'eva santā sādhukaṃ suṇoma manasi karoma."	""
"1"	"1"	"sabbeva"	"comp"	"sandhi"	""	"எல்லோரும்"	"one and all"	"just all"	""	""	""	""	"sabbe + eva"	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, taṃ <b>sabb'eva</b> santā sādhukaṃ suṇoma manasi karoma."	""
"1"	"1"	"- sabbe"	"pron"	"masc nom pl of sabba"	""	"எல்லா"	"everybody, all"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, taṃ <b>sabb</b>'eva santā sādhukaṃ suṇoma manasi karoma."	""
"1"	"20"	"- eva"	"ind"	""	""	"ம்.."	"just, only"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, taṃ sabb'<b>eva</b> santā sādhukaṃ suṇoma manasi karoma."	""
"1"	"2"	"santā"	"prp"	"masc nom pl of santa, prp of atthi"	""	"இருங்கள்"	"present"	"being, existing"	"√as (be)"	"1"	"a"	"√as > sa"	"sa + nta"	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, taṃ sabb'eva <b>santā</b> sādhukaṃ suṇoma manasi karoma."	""
"1"	"2"	"sādhukaṃ"	"ind"	"adv"	""	"கவனமாக"	"well, carefully, thoroughly"	""	""	""	""	""	"sādhu + ka + aṃ"	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā <b>sādhukaṃ</b> suṇoma manasi karoma."	""
"1"	"1"	"suṇoma"	"verb"	"imp 1st pl of suṇoti"	"+acc"	"கேட்போம்"	"we must listen"	""	"√su (hear)"	"4"	"ṇo"	"√su + ṇo > suṇo"	"suṇo + ti"	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā sādhukaṃ <b>suṇoma</b> manasi karoma."	""
"1"	"1"	"manasikaroma"	"comp verb"	"imp 1st pl of manasikaroti, comp verb"	""	"கவனிப்போம்"	"we must pay attention, keep in mind"	"we must make in mind"	""	""	""	""	"manasi + karoti"	"verbal comp"	"manasi + karoti"	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā sādhukaṃ suṇoma <b>manasi karoma</b>."	""
"1"	"1"	"- manasi"	"noun"	"masc loc sg of manas"	""	"மனதில்"	"in mind"	""	"√man (think)"	"3"	"ya"	""	"√man + as"	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā sādhukaṃ suṇoma <b>manasi</b> karoma."	""
"1"	"1"	"- karoma"	"verb"	"imp 1st pl of karoti"	"+acc"	"செய்வோம்"	"we must make"	""	"√kar (do, make)"	"7"	"o"	"√kar + o > karo"	"karo + ti"	""	""	"NI"	"nidānuddeso"	"pātimokkhaṃ uddisissāmi, taṃ sabb'eva santā sādhukaṃ suṇoma manasi <b>karoma</b>."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"3"	"yassa"	"pron"	"masc dat sg of ya"	""	"யாருக்காக"	"for whoever"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"<b>yassa</b> siyā āpatti, so āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ"	""
"1"	"4"	"siyā"	"verb"	"opt 3rd sg of atthi"	"+nom"	"இருந்தாலும்"	"there could be"	""	"√as (be)"	"1"	"a"	"√as + a > siya"	"siya + a"	""	""	"NI"	"nidānuddeso"	"yassa <b>siyā</b> āpatti, so āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ"	""
"1"	"2"	"āpatti"	"noun"	"fem nom sg, from āpajjati"	""	"தவறு"	"offence, transgression, wrongdoing"	"go wrong"	"√pad (go, step)"	"3"	"ya"	""	"ā + √pad + ti"	""	""	"NI"	"nidānuddeso"	"yassa siyā <b>āpatti</b>, so āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ"	""
"1"	"1"	"yassa siyā āpatti"	"idiom"	""	""	"தவறு யார் செய்திருந்தாலும் "	"whoever has an offence"	"for whoever there may be offence"	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"<b>yassa siyā āpatti</b>, so āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ"	""
"1"	"37"	"so"	"pron"	"masc nom sg of ta"	""	"அவர்"	"he, that"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"yassa siyā āpatti, <b>so</b> āvikareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ"	""
"1"	"1"	"āvikareyya"	"verb"	"opt 3rd sg of āvikaroti, comp verb"	"+acc"	"தெரிய செய்ய வேண்டும்"	"he should openly reveal"	"he should make open"	""	""	""	""	"āvi + kareyya"	""	""	"NI"	"nidānuddeso"	"yassa siyā āpatti, so <b>āvikareyya</b>, asantiyā āpattiyā tuṇhī bhavitabbaṃ"	""
"1"	"3"	"- āvi"	"ind"	"adv"	""	"தெரிய"	"open, full view, in plain sight"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"yassa siyā āpatti, so <b>āvi</b>kareyya, asantiyā āpattiyā tuṇhī bhavitabbaṃ"	""
"1"	"1"	"- kareyya"	"verb"	"opt 3rd sg of karoti"	"+acc"	"செய்ய வேண்டும்"	"he should do, make"	""	"√kar (do, make)"	"7"	"o"	"√kar + o > karo"	"karo + eyya"	""	""	"NI"	"nidānuddeso"	"yassa siyā āpatti, so āvi<b>kareyya</b>, asantiyā āpattiyā tuṇhī bhavitabbaṃ"	""
"1"	"1"	"asantiyā"	"prp"	"fem loc sg of santa, prp of atthi, neg"	""	"இல்லாதபோது"	"when there is no"	"when not being, existing"	"√as (be)"	"1"	"a"	"√as + a > sa"	"sa + nta"	""	""	"NI"	"nidānuddeso"	"yassa siyā āpatti, so āvikareyya, <b>asantiyā</b> āpattiyā tuṇhī bhavitabbaṃ"	""
"1"	"2"	"āpattiyā"	"noun"	"fem loc sg of āpatti, from āpajjati"	""	"தவறு"	"when offence, transgression, wrongdoing"	"when go wrong"	"√pad (go, step)"	"3"	"ya"	""	"ā + √pad + ti"	""	""	"NI"	"nidānuddeso"	"yassa siyā āpatti, so āvikareyya, asantiyā <b>āpattiyā</b> tuṇhī bhavitabbaṃ"	""
"1"	"10"	"tuṇhī"	"ind"	""	""	"அமைதியாக"	"silent, silence, silently"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"yassa siyā āpatti, so āvikareyya, asantiyā āpattiyā <b>tuṇhī</b> bhavitabbaṃ"	""
"1"	"1"	"bhavitabbaṃ"	"ptp"	"nt nom sg of bhavitabba, ptp of bhavati"	""	"இருக்கபட வேண்டும்"	"there should be"	"it should be"	"√bhū (be)"	"1"	"a"	"√bhū + a > bhava"	"bhava + itabba"	""	""	"NI"	"nidānuddeso"	"yassa siyā āpatti, so āvikareyya, asantiyā āpattiyā tuṇhī <b>bhavitabbaṃ</b>"	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"1"	"tuṇhībhāvena"	"noun"	"masc instr sg of tuṇhībhāva, comp"	""	"அமைதியினால்"	"because of the silence, due to silence"	"by state of silence"	""	""	""	""	"tuṇhī + bhāva"	"abyāyibhāva"	""	"NI"	"nidānuddeso"	"<b>tuṇhībhāvena</b> kho pan'āyasmante parisuddhā'ti vedissāmi."	""
"1"	"42"	"kho"	"ind"	"emph"	""	"நிச்சயமாக"	"truly, indeed, then"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"tuṇhībhāvena <b>kho</b> pan'āyasmante parisuddhā'ti vedissāmi."	""
"1"	"1"	"panāyasmante"	"comp"	"sandhi"	""	"மற்றும் ஆயுஷ்மந்தர்களை"	"and the venerables"	""	""	""	""	""	"pana + āyasmante"	""	""	"NI"	"nidānuddeso"	"tuṇhībhāvena kho <b>pan'āyasmante</b> parisuddhā'ti vedissāmi."	""
"1"	"4"	"- pana"	"ind"	""	""	"மற்றும்"	"then, now, so, but"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"tuṇhībhāvena kho <b>pan'</b>āyasmante parisuddhā'ti vedissāmi."	""
"1"	"3"	"- āyasmante"	"noun"	"masc acc pl of āyasmantu"	""	"ஆயுஷ்மந்தர்களை"	"venerables (object)"	"having long life"	""	""	""	""	"āyus + mantu"	""	""	"NI"	"nidānuddeso"	"tuṇhībhāvena kho pan'<b>āyasmante</b> parisuddhā'ti vedissāmi."	""
"1"	"1"	"parisuddhāti"	"comp"	"sandhi"	""	"பரிசுத்தம்,என"	""	"“pure”"	""	""	""	""	"parisuddha + iti"	""	""	"NI"	"nidānuddeso"	"tuṇhībhāvena kho pan'āyasmante <b>parisuddhā'ti</b> vedissāmi."	""
"1"	"2"	"- parisuddhā"	"adj"	"masc nom pl of parisuddha, pp of parisujjhati"	""	"பரிசுத்தம்"	"pure, innocent"	"purified"	"√sudh (be pure)"	"3"	"ya"	""	"pari + √sudh + ta"	""	""	"NI"	"nidānuddeso"	"tuṇhībhāvena kho pan'āyasmante <b>parisuddhā</b>'ti vedissāmi."	""
"1"	"45"	"- iti"	"ind"	""	""	"என"	"“”"	"thus"	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"tuṇhībhāvena kho pan'āyasmante parisuddhā<b>'ti</b> vedissāmi."	""
"1"	"1"	"vedissāmi"	"verb"	"1st fut sg of vedeti"	"+acc"	"தெரிந்துகொள்வேன்"	"I will know, understand"	""	"√vid (know, sense)"	"8"	"*e"	"√vid + *e > vede"	"vede + ti"	""	""	"NI"	"nidānuddeso"	"tuṇhībhāvena kho pan'āyasmante parisuddhā'ti <b>vedissāmi</b>."	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	""	""
"1"	"5"	"yathā"	"ind"	"adv"	""	"எனில்"	"like, as"	""	""	""	""	""	"ya + thā"	""	""	"NI"	"nidānuddeso"	"<b>yathā</b> kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"2"	"42"	"kho"	"ind"	"emph"	"0"	"நிச்சயமாக"	"truly, indeed, then"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"NI"	"nidānuddeso"	"yathā <b>kho</b> pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"124"	"pana"	"ind"	""	""	"இப்போது"	"then, now, so, but"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"yathā kho <b>pana</b> paccekapuṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"1"	"paccekapuṭṭhassa"	"noun"	"masc dat sg of paccekapuṭṭha, comp"	""	"தனிப்பட்ட முறையில் கேட்ட கேள்விக்கு"	"for (the monk) who is asked individually"	"for asked singly"	""	""	""	""	"pacceka + puṭṭhassa"	"abyayībhāva > bahubbīhi"	"pacceka + puṭṭha"	"NI"	"nidānuddeso"	"yathā kho pana <b>paccekapuṭṭhassa</b> veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"1"	"- paccekaṃ"	"ind"	"adv"	""	"தனிப்பட்ட முறையில்"	"individually, personally, singly"	""	""	""	""	""	"pati > paty > pacc + eka + aṃ"	""	""	"NI"	"nidānuddeso"	"yathā kho pana <b>pacceka</b>puṭṭhassa veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"1"	"- puṭṭhassa"	"pp"	"masc dat sg of puṭṭha, pp of pucchati"	""	"கேட்ட கேள்விக்கு"	"for (the person) who is asked"	"for asked"	"√pucch (ask)"	"1"	"a"	""	"√pucch + ta"	""	""	"NI"	"nidānuddeso"	"yathā kho pana pacceka<b>puṭṭhassa</b> veyyākaraṇaṃ hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"1"	"veyyākaraṇaṃ"	"noun"	"nt acc sg of veyyākaraṇa"	""	"பதில்"	"answer, explanation"	"doing in detail"	"√kar (do, make)"	"7"	"o"	""	"vi + ā > vyā > veyyā + √kar + aṇa + *a"	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa <b>veyyākaraṇaṃ</b> hoti, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"20"	"hoti"	"verb"	"pr 3rd sg"	"+nom"	"இருக்கிறது"	"there is"	"it is"	"√hū (be)"	"1"	"a"	"√hū + a > ho"	"ho + ti"	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ <b>hoti</b>, evam'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"1"	"evamevaṃ"	"comp"	"sandhi"	""	"எப்படியோ அப்படியே"	"exactly in the same way, just like this"	""	""	""	""	""	"evaṃ + evaṃ"	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, <b>evam'evaṃ</b> evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
"1"	"7"	"- evaṃ"	"ind"	"adv"	""	"எப்படியோ"	"thus, like this, as"	""	""	""	""	""	""	""	""	"NI"	"nidānuddeso"	"yathā kho pana paccekapuṭṭhassa veyyākaraṇaṃ hoti, <b>evam</b>'evaṃ evarūpāya parisāya yāvatatiyaṃ anusāvitaṃ hoti"	""
